"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","82,504","9.7","Q1","2","3.42"%,
"Energy and AI","ENERGY AI","ELSEVIER","2666-5468","2666-5468","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","5,147","9.7","Q1","1.31","99.77"%,
"Swarm and Evolutionary Computation","SWARM EVOL COMPUT","ELSEVIER","2210-6502","2210-6510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","13,386","9.6","Q1","1.84","14.11"%,
"EXPERT SYSTEMS WITH APPLICATIONS","EXPERT SYST APPL","PERGAMON-ELSEVIER SCIENCE LTD","0957-4174","1873-6793","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","136,812","9.4","Q1","1.49","13.24"%,
"PATTERN RECOGNITION","PATTERN RECOGN","ELSEVIER SCI LTD","0031-3203","1873-5142","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","55,105","9.1","Q1","1.52","12.71"%,
"ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE","ENG APPL ARTIF INTEL","PERGAMON-ELSEVIER SCIENCE LTD","0952-1976","1873-6769","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","57,137","9","Q1","1.76","14.59"%,
"AI Open","AI OPEN","KEAI PUBLISHING LTD","N/A","2666-6510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","2,476","8.9","Q1","2.48","100"%,
"Machine Learning and Knowledge Extraction","MACH LEARN KNOW EXTR","MDPI","N/A","2504-4990","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","3,187","8.4","Q1","0.91","100"%,
"Brain Informatics","BRAIN INFORM","SPRINGERNATURE","2198-4018","2198-4026","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,261","8.3","Q1","1.05","100"%,
"KNOWLEDGE-BASED SYSTEMS","KNOWL-BASED SYST","ELSEVIER","0950-7051","1872-7409","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","55,815","8","Q1","1.25","12.82"%,
"Artificial Intelligence in Medicine","ARTIF INTELL MED","ELSEVIER","0933-3657","1873-2860","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","9,654","7.8","Q1","1.28","31.47"%,
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","ELSEVIER","1568-4946","1872-9681","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","56,796","7.8","Q1","1.26","9.89"%,
"IEEE Computational Intelligence Magazine","IEEE COMPUT INTELL M","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1556-603X","1556-6048","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,997","7.7","Q1","1.69","0"%,
"JOURNAL OF INTELLIGENT MANUFACTURING","J INTELL MANUF","SPRINGER","0956-5515","1572-8145","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","13,199","7.7","Q1","1.12","29.21"%,
"DECISION SUPPORT SYSTEMS","DECIS SUPPORT SYST","ELSEVIER","0167-9236","1873-5797","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","14,693","7.5","Q1","1.32","20.96"%,
"Cognitive Computation","COGN COMPUT","SPRINGER","1866-9956","1866-9964","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,941","7.4","Q1","1","22.22"%,
"NEURAL NETWORKS","NEURAL NETWORKS","PERGAMON-ELSEVIER SCIENCE LTD","0893-6080","1879-2782","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","37,463","7.2","Q1","1.42","13.28"%,
"JOURNAL OF MACHINE LEARNING RESEARCH","J MACH LEARN RES","MICROTOME PUBL","1532-4435","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","67,823","6.8","Q1","0.94","0.19"%,
"Fuzzy Optimization and Decision Making","FUZZY OPTIM DECIS MA","SPRINGER","1568-4539","1573-2908","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,349","6.7","Q1","1.24","15.63"%,
"Advanced Intelligent Systems","ADV INTELL SYST-GER","WILEY-V C H VERLAG GMBH","N/A","2640-4567","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","11,417","6.7","Q1","1.01","100"%,
"NEUROCOMPUTING","NEUROCOMPUTING","ELSEVIER","0925-2312","1872-8286","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","74,882","6.7","Q1","1","12.15"%,
"Frontiers in Artificial Intelligence","FRONT ARTIF INTELL","FRONTIERS MEDIA SA","N/A","2624-8212","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","7,520","6.7","Q1","0.74","100"%,
"AI","AI-BASEL","MDPI","N/A","2673-2688","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","2,218","6.5","Q1","0.76","100"%,
"INTEGRATED COMPUTER-AIDED ENGINEERING","INTEGR COMPUT-AID E","SAGE PUBLICATIONS INC","1069-2509","1875-8835","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","765","6.4","Q1","1.28","20"%,
"ACM Transactions on Interactive Intelligent Systems","ACM T INTERACT INTEL","ASSOC COMPUTING MACHINERY","2160-6455","2160-6463","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,258","6.4","Q1","0.92","34.94"%,
"Intelligent Computing","INTELL COMPUT-WASH","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2771-5892","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","528","6.4","Q1","0.72","100"%,
"BrainX","BRAIN-X","WILEY","2835-3153","2835-3153","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","303","6.4","Q1","0.68","100"%,
"Artificial Intelligence Chemistry","ARTIF INTELL CHEM","ELSEVIER","N/A","2949-7477","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","533","6.3","Q1","0.84","100"%,
"Big Data Mining and Analytics","BIG DATA MIN ANAL","TSINGHUA UNIV PRESS","N/A","2096-0654","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,480","6.1","Q2","1.16","100"%,
"Machine Learning with Applications","MACH LEARN APPL-NETH","ELSEVIER","N/A","2666-8270","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","3,314","6.1","Q2","1.16","100"%,
"International Journal of Neural Systems","INT J NEURAL SYST","WORLD SCIENTIFIC PUBL CO PTE LTD","0129-0657","1793-6462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,248","6.1","Q2","0.99","17.94"%,
"AI & Society","AI SOC","SPRINGER","0951-5666","1435-5655","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","7,809","6.1","Q2","0.74","59.53"%,
"ROBOTICS AND AUTONOMOUS SYSTEMS","ROBOT AUTON SYST","ELSEVIER","0921-8890","1872-793X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","11,957","6","Q2","1.01","30.56"%,
