"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Kunstliche Intelligenz","KUNSTL INTELL","SPRINGER HEIDELBERG","0933-1875","1610-1987","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,156","3.2","Q3","0.35","68.29"%,
"International Journal of Fuzzy Systems","INT J FUZZY SYST","SPRINGER HEIDELBERG","1562-2479","2199-3211","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,300","3.1","Q3","0.64","7.77"%,
"JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS","J INTELL ROBOT SYST","SPRINGER","0921-0296","1573-0409","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,903","3.1","Q3","0.53","64.52"%,
"Progress in Artificial Intelligence","PROG ARTIF INTELL","SPRINGERNATURE","2192-6352","2192-6360","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,147","3.1","Q3","0.39","14.88"%,
"CONNECTION SCIENCE","CONNECT SCI","TAYLOR & FRANCIS LTD","0954-0091","1360-0494","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,446","3","Q3","0.65","100"%,
"IEEE Transactions on Games","IEEE T GAMES","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2475-1502","2475-1510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,131","3","Q3","0.64","9.17"%,
"COMPUTER SPEECH AND LANGUAGE","COMPUT SPEECH LANG","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0885-2308","1095-8363","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,969","3","Q3","0.55","25.69"%,
"Journal of Medical Artificial Intelligence","J MED ARTIF INTELL","AME PUBLISHING COMPANY","N/A","2617-2496","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","350","3","Q3","0.35","100"%,
"Cognitive Systems Research","COGN SYST RES","ELSEVIER","2214-4366","1389-0417","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,096","2.9","Q3","0.67","30.92"%,
"PeerJ Computer Science","PEERJ COMPUT SCI","PEERJ INC","N/A","2376-5992","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","10,313","2.9","Q3","0.57","99.54"%,
"International Journal of Interactive Multimedia and Artificial Intelligence","INT J INTERACT MULTI","UNIV INT RIOJA-UNIR","1989-1660","1989-1660","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,352","2.9","Q3","0.51","99.43"%,
"International Journal of Data Science and Analytics","INT J DATA SCI ANAL","SPRINGERNATURE","2364-415X","2364-4168","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","2,301","2.9","Q3","0.49","28.3"%,
"International Journal of Machine Learning and Cybernetics","INT J MACH LEARN CYB","SPRINGER HEIDELBERG","1868-8071","1868-808X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,750","2.9","Q3","0.45","4.57"%,
"INTERNATIONAL JOURNAL OF APPROXIMATE REASONING","INT J APPROX REASON","ELSEVIER SCIENCE INC","0888-613X","1873-4731","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,936","2.8","Q3","0.51","33.83"%,
"NEURAL PROCESSING LETTERS","NEURAL PROCESS LETT","SPRINGER","1370-4621","1573-773X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,822","2.8","Q3","0.44","53.72"%,
"IET Cyber-systems and Robotics","IET CYBER-SYST ROBOT","WILEY","N/A","2631-6315","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","375","2.8","Q3","0.38","100"%,
"ACM Transactions on Asian and Low-Resource Language Information Processing","ACM T ASIAN LOW-RESO","ASSOC COMPUTING MACHINERY","2375-4699","2375-4702","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,921","2.7","Q3","0.35","9.89"%,
"Semantic Web","SEMANT WEB","SAGE PUBLICATIONS INC","1570-0844","2210-4968","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,631","2.6","Q3","0.66","99.39"%,
"Algorithms","ALGORITHMS","MDPI","N/A","1999-4893","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","7,271","2.6","Q3","0.45","99.9"%,
"PATTERN ANALYSIS AND APPLICATIONS","PATTERN ANAL APPL","SPRINGER","1433-7541","1433-755X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,280","2.6","Q3","0.39","13.17"%,
"Journal on Multimodal User Interfaces","J MULTIMODAL USER IN","SPRINGER","1783-7677","1783-8738","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","775","2.6","Q3","0.37","41.54"%,
"Natural Language Engineering","NAT LANG ENG","CAMBRIDGE UNIV PRESS","1351-3249","1469-8110","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,217","2.5","Q3","1.22","94.74"%,
"SIAM Journal on Imaging Sciences","SIAM J IMAGING SCI","SIAM PUBLICATIONS","1936-4954","1936-4954","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,295","2.5","Q3","0.74","3.91"%,
"Swarm Intelligence","SWARM INTELL-US","SPRINGER","1935-3812","1935-3820","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","895","2.5","Q3","0.62","53.33"%,
"Memetic Computing","MEMET COMPUT","SPRINGER HEIDELBERG","1865-9284","1865-9292","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","782","2.5","Q3","0.46","14"%,
"AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING","AI EDAM","CAMBRIDGE UNIV PRESS","0890-0604","1469-1760","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","984","2.5","Q3","0.42","64.2"%,
"AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS","AUTON AGENT MULTI-AG","SPRINGER","1387-2532","1573-7454","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,612","2.4","Q3","0.56","54.29"%,
"IET Image Processing","IET IMAGE PROCESS","WILEY","1751-9659","1751-9667","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,110","2.4","Q3","0.41","100"%,
"Advances in Human-Computer Interaction","ADV HUM-COMPUT INTER","WILEY","1687-5893","1687-5907","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","535","2.4","Q3","0.23","100"%,
"Journal of Intelligent Systems","J INTELL SYST","DE GRUYTER POLAND SP Z O O","0334-1860","2191-026X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,225","2.3","Q3","0.29","100"%,
"Cognitive Computation and Systems","COGN COMPUT SYST","WILEY","N/A","2517-7567","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","237","2.2","Q3","0.27","100"%,
"NEURAL COMPUTATION","NEURAL COMPUT","MIT PRESS","0899-7667","1530-888X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","23,536","2.1","Q3","0.43","13.74"%,
"JOURNAL OF HEURISTICS","J HEURISTICS","SPRINGER","1381-1231","1572-9397","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,253","2.1","Q3","0.36","32.39"%,
"Turkish Journal of Electrical Engineering and Computer Sciences","TURK J ELECTR ENG CO","Tubitak Scientific & Technological Research Council Turkey","1300-0632","1303-6203","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,896","2.1","Q3","0.3","42.44"%,
"JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE","J EXP THEOR ARTIF IN","TAYLOR & FRANCIS LTD","0952-813X","1362-3079","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,289","2.1","Q3","0.29","5.21"%,
"JOURNAL OF CHEMOMETRICS","J CHEMOMETR","WILEY","0886-9383","1099-128X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,124","2","Q3","0.52","31.65"%,
"MACHINE VISION AND APPLICATIONS","MACH VISION APPL","SPRINGER","0932-8092","1432-1769","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,807","2","Q3","0.44","20.1"%,
"International Journal of Bio-Inspired Computation","INT J BIO-INSPIR COM","INDERSCIENCE ENTERPRISES LTD","1758-0366","1758-0374","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","764","2","Q3","0.4","0.78"%,
"Intelligenza Artificiale","INTELL ARTIF","SAGE PUBLICATIONS INC","1724-8035","2211-0097","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","261","2","Q3","0.15","5.56"%,
"Advances in Fuzzy Systems","ADV FUZZY SYST","WILEY","1687-7101","1687-711X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","264","1.9","Q3","0.64","100"%,
"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING","INT J INF TECH DECIS","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-6220","1793-6845","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,448","1.9","Q3","0.4","1.21"%,
"Genetic Programming and Evolvable Machines","GENET PROGRAM EVOL M","SPRINGER","1389-2576","1573-7632","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","773","1.9","Q3","0.37","49.09"%,
"Information Technology and Control","INF TECHNOL CONTROL","KAUNAS UNIV TECHNOLOGY","1392-124X","1392-124X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","634","1.9","Q3","0.36","91.98"%,
"Natural Computing","NAT COMPUT","SPRINGER","1567-7818","1572-9796","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,106","1.9","Q3","0.34","54.72"%,
"Journal of Ambient Intelligence and Smart Environments","J AMB INTEL SMART EN","SAGE PUBLICATIONS INC","1876-1364","1876-1372","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","536","1.9","Q3","0.33","7.5"%,
"COMPUTATIONAL INTELLIGENCE","COMPUT INTELL-US","WILEY","0824-7935","1467-8640","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,634","1.9","Q3","0.28","11.82"%,
"JOURNAL OF MATHEMATICAL IMAGING AND VISION","J MATH IMAGING VIS","SPRINGER","0924-9907","1573-7683","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,309","1.8","Q4","0.57","44.44"%,
"ARTIFICIAL LIFE","ARTIF LIFE","MIT PRESS","1064-5462","1530-9185","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","914","1.8","Q4","0.31","22.67"%,
"International Journal on Document Analysis and Recognition","INT J DOC ANAL RECOG","SPRINGER HEIDELBERG","1433-2833","1433-2825","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","810","1.7","Q4","0.3","23.7"%,
"Argument & Computation","ARGUM COMPUT","SAGE PUBLICATIONS INC","1946-2166","1946-2174","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","337","1.7","Q4","0.27","100"%,
"Applied Ontology","APPL ONTOL","SAGE PUBLICATIONS INC","1570-5838","1875-8533","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","430","1.6","Q4","0.85","12.24"%,
"Natural Language Processing","NAT LANG PROCESS-UK","CAMBRIDGE UNIV PRESS","N/A","2977-0424","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","95","1.6","Q4","0.6","100"%,
"ADAPTIVE BEHAVIOR","ADAPT BEHAV","SAGE PUBLICATIONS LTD","1059-7123","1741-2633","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","920","1.6","Q4","0.46","39.51"%,
"International Journal of Applied Mathematics and Computer Science","INT J AP MAT COM-POL","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","1641-876X","2083-8492","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,009","1.6","Q4","0.46","100"%,
"ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE","ANN MATH ARTIF INTEL","SPRINGER","1012-2443","1573-7470","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,312","1.6","Q4","0.45","40.71"%,
"NETWORK-COMPUTATION IN NEURAL SYSTEMS","NETWORK-COMP NEURAL","TAYLOR & FRANCIS INC","0954-898X","1361-6536","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","831","1.6","Q4","0.38","2.58"%,
"IET Biometrics","IET BIOMETRICS","WILEY","2047-4938","2047-4946","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","635","1.6","Q4","0.28","100"%,
"International Journal of Computational Intelligence and Applications","INT J COMPUT INTELL","WORLD SCIENTIFIC PUBL CO PTE LTD","1469-0268","1757-5885","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","528","1.6","Q4","0.21","1.83"%,
"CCF Transactions on Pervasive Computing and Interaction","CCF T PERVAS COMPUT","SPRINGERNATURE","2524-521X","2524-5228","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","354","1.5","Q4","0.37","8.24"%,
"IET Computer Vision","IET COMPUT VIS","WILEY","1751-9632","1751-9640","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,018","1.4","Q4","0.24","99.55"%,
"CONSTRAINTS","CONSTRAINTS","SPRINGER","1383-7133","1572-9354","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","433","1.3","Q4","0.28","58.06"%,
"International Arab Journal of Information Technology","INT ARAB J INF TECHN","ZARKA PRIVATE UNIV","1683-3198","1683-3198","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","875","1.3","Q4","0.28","99.29"%,
"AI COMMUNICATIONS","AI COMMUN","IOS PRESS","0921-7126","1875-8452","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","668","1.3","Q4","0.2","1.64"%,
"International Journal of Knowledge-Based and Intelligent Engineering Systems","INT J KNOWL-BASED IN","SAGE PUBLICATIONS INC","1327-2314","1875-8827","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","269","1.3","Q4","0.19","0"%,
"KNOWLEDGE ENGINEERING REVIEW","KNOWL ENG REV","Maximum Academic Press","0269-8889","1469-8005","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,107","1.3","Q4","0.1","83.33"%,
"International Journal of Swarm Intelligence Research","INT J SWARM INTELL R","IGI GLOBAL","1947-9263","1947-9271","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","217","1.2","Q4","0.24","100"%,
"ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal","ADCAIJ-ADV DISTRIB C","EDICIONES UNIV SALAMANCA","2255-2863","2255-2863","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","251","1.2","Q4","0.14","98.78"%,
"Statistical Analysis and Data Mining-An Asa Data Science Journal","STAT ANAL DATA MIN","WILEY","1932-1864","1932-1872","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,023","1.1","Q4","0.6","38.36"%,
"Journal of Logic Language and Information","J LOGIC LANG INFORM","SPRINGER","0925-8531","1572-9583","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","335","1","Q4","0.72","54.39"%,
"JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING","J MULT-VALUED LOG S","OLD CITY PUBLISHING INC","1542-3980","1542-3999","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","544","1","Q4","0.41","0"%,
"International Journal on Artificial Intelligence Tools","INT J ARTIF INTELL T","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-2130","1793-6349","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","733","1","Q4","0.19","1.71"%,
"COMPUTING AND INFORMATICS","COMPUT INFORM","SLOVAK ACAD SCIENCES INST INFORMATICS","1335-9150","1335-9150","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","478","1","Q4","0.18","49.1"%,
"INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING","INT J SOFTW ENG KNOW","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-1940","1793-6403","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","640","1","Q4","0.18","1.63"%,
"INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS","INT J UNCERTAIN FUZZ","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-4885","1793-6411","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,503","1","Q4","0.16","1.91"%,
"Intelligent Data Analysis","INTELL DATA ANAL","SAGE PUBLICATIONS INC","1088-467X","1571-4128","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,510","1","Q4","0.14","0.86"%,
"Intelligent Decision Technologies-Netherlands","INTELL DECIS TECHNOL","SAGE PUBLICATIONS INC","1872-4981","1875-8843","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","607","1","Q4","0.13","0.9"%,
"PROCESAMIENTO DEL LENGUAJE NATURAL","PROCES LENG NAT","SOC ESPANOLA PROCESAMIENTO LENGUAJE NATURAL-SEPLN","1135-5948","1989-7553","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","322","0.9","Q4","0.42","0"%,
"Foundations of Computing and Decision Sciences","FOUND COMPUT DECIS S","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","0867-6356","2300-3405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","230","0.9","Q4","0.22","100"%,
"Inteligencia Artificial-Iberoamerican Journal of Artificial Intelligence","INTEL ARTIF-IBEROAM","ASOC ESPANOLA INTELIGENCIA ARTIFICIAL","1137-3601","1988-3064","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","157","0.9","Q4","0.15","81.93"%,
"INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE","INT J PATTERN RECOGN","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-0014","1793-6381","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,838","0.9","Q4","0.14","1.75"%,
"Advances in Electrical and Computer Engineering","ADV ELECTR COMPUT EN","UNIV SUCEAVA, FAC ELECTRICAL ENG","1582-7445","1844-7600","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","494","0.9","Q4","0.12","55.05"%,
"International Journal of Data Mining Modelling and Management","INT J DATA MIN MODEL","INDERSCIENCE ENTERPRISES LTD","1759-1163","1759-1171","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","102","0.9","Q4","0.11","0"%,
"Malaysian Journal of Computer Science","MALAYS J COMPUT SCI","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","0127-9084","0127-9084","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","199","0.8","Q4","0.23","36.11"%,
"Vietnam Journal of Computer Science","VIETNAM J COMPUT SCI","WORLD SCIENTIFIC PUBL CO PTE LTD","2196-8888","2196-8896","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","201","0.8","Q4","0.18","100"%,
"International Journal of Biometrics","INT J BIOMETRICS","INDERSCIENCE ENTERPRISES LTD","1755-8301","1755-831X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","175","0.8","Q4","0.12","0"%,
"Advances in Artificial Intelligence and Machine Learning","ADV ARTIF INTELL MAC","Shimur Publications","N/A","2582-9793","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","167","0.8","Q4","0.1","0.45"%,
"International Journal of Innovative Computing Information and Control","INT J INNOV COMPUT I","ICIC INT","1349-4198","1349-418X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,054","0.7","Q4","0.15","0"%,
"JOURNAL OF AUTOMATED REASONING","J AUTOM REASONING","SPRINGER","0168-7433","1573-0670","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","913","0.7","Q4","0.15","62.5"%,
"Journal of Advanced Computational Intelligence and Intelligent Informatics","J ADV COMPUT INTELL","FUJI TECHNOLOGY PRESS LTD","1343-0130","1883-8014","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","699","0.7","Q4","0.12","97.83"%,
"Journal of Computer Science & Technology","J COMPUT SC TECH-ARG","UNIV NAC LA PLATA, FAC INFORMATICA","1666-6046","1666-6038","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","70","0.6","Q4","0.36","87.8"%,
"JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL","J COMPUT SYS SC INT+","PLEIADES PUBLISHING LTD","1064-2307","1555-6530","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","423","0.6","Q4","0.1","0"%,
"International Journal of Cognitive Informatics and Natural Intelligence","INT J COGN INFORM NA","IGI GLOBAL","1557-3958","1557-3966","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","159","0.6","Q4","0.08","100"%,
"Neural Network World","NEURAL NETW WORLD","ACAD SCIENCES CZECH REPUBLIC, INST COMPUTER SCIENCE","1210-0552","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","258","0.5","Q4","0.12","0"%,
"International Journal of Semantic Computing","INT J SEMANT COMPUT","WORLD SCIENTIFIC PUBL CO PTE LTD","1793-351X","1793-7108","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","167","0.5","Q4","0.09","6.1"%,
"Web Intelligence","WEB INTELL","SAGE PUBLICATIONS INC","2405-6456","2405-6464","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","141","0.4","Q4","0.07","3.06"%,
"International Journal of Applied Metaheuristic Computing","INT J APPL METAHEUR","IGI GLOBAL","1947-8283","1947-8291","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","151","0.2","Q4","0.13","100"%,
"International Journal of Applied Pattern Recognition","INT J APPL PATTERN R","INDERSCIENCE ENTERPRISES LTD","2049-887X","2049-8888","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","129","0.2","Q4","0.09","10"%,
"International Journal of System Dynamics Applications","INT J SYST DYN APPL","IGI GLOBAL","2160-9772","2160-9799","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","78","<0.1","Q4","0.03","100"%,
"European Journal on Artificial Intelligence","EUR J ARTIF INTELL","SAGE PUBLICATIONS LTD","3050-4554","3050-4546","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","21","N/A","N/A","N/A","9.72"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
